"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"IC_MAX";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"OPERATING_TEMPERATURE";"PART_STATUS";"POPULARITY";"PROD_ID";"ROHS_COMPLIANCE";"ROHS_COMPLIANT";"SERIES";"SF_ID";"SF_SKU";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";"VCEO_MAX";
"C1";"2.2n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"29";"";"";"";"";"";"";"C";"";"";"";"";"";
"C2";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"29";"";"";"";"";"";"";"C";"";"";"";"";"";
"C3";"47uFx16V";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"16";"";"";"";"";"";"";"C";"";"";"";"";"";
"C4";"47uFx16V";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"16";"";"";"";"";"";"";"C";"";"";"";"";"";
"C5";"0.1uF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"C";"";"";"";"";"";
"C6";"0.1uF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"C";"";"";"";"";"";
"C7";"0.1uF";"C-EU050-024X044";"C050-024X044";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"C";"";"";"";"";"";
"D1";"";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"SCHOTTKY-DIODEDO41-7";"DO41-7";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"";"SCHOTTKY-DIODEDO41-7";"DO41-7";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"TL074P";"TL074P";"DIL14";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"CD40106B";"CD40106B";"DIL14";"Hex schmitt trigger INVERTER";"IC_Logic";"CD40106BE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Inverter";"";"";"";"";
