"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"IC_MAX";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"OPERATING_TEMPERATURE";"PART_STATUS";"POPULARITY";"PROD_ID";"ROHS_COMPLIANCE";"ROHS_COMPLIANT";"SERIES";"SF_ID";"SF_SKU";"SPICEPREFIX";"SUB-CATEGORY";"THERMALLOSS";"TYPE";"VALUE";"VCEO_MAX";
"C1";"2.2n";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"29";"";"";"";"";"";"";"C";"";"";"";"";"";
"C2";"1u";"C-EU050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"29";"";"";"";"";"";"";"C";"";"";"";"";"";
"C3";"47uFx16V";"CPOL-EUUD-8X10";"UD-8X10_NICHICON";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";
"C4";"47uFx16V";"CPOL-EUUD-8X10";"UD-8X10_NICHICON";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";
"C5";"0.1uF";"C-EU01005";"C01005";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";
"C6";"0.1uF";"C-EU01005";"C01005";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";
"C7";"0.1uF";"C-EU01005";"C01005";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"C";"";"";"";"";"";
"D1";"";"DIODEDO-1N4148";"DO-1N4148";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"D";"";"";"";"";"";
"IC1";"TL074P";"TL074P";"DIL14";"OP AMP";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"J";"";"";"";"";"";
"IC2";"7414N";"7414N";"DIL14";"Hex schmitt trigger INVERTER";"IC_Logic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"I";"Inverter";"";"";"";"";
"J1";"";"CONN_05X2SHD";"2X5-SHROUDED";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08671";"";"";"";"PRT-08506";"";"X";"";"";"";"";"";
"J2";"AUDIO_JACK_3.5MM_PTH";"AUDIO_JACK_3.5MM_PTH";"AUDIO-JACK";"Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08774";"";"";"";"PRT-08032";"";"E";"";"";"";"";"";
